[DEVICE] cuda
[GPU] NVIDIA L40 | VRAM 47.7GB
[MODEL] Loading processors...
[DATA] Building datasets...
[LLaVA-Instruct] 361411 samples
[GQA Train] 72140 unique image samples
[TextVQA] 34602 samples
[DATA] Total train samples: 468153
[MODEL] Loading CLIP (frozen)...

Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 199/199 [00:00<00:00, 50509.32it/s]
[MODEL] Loading Qwen (trainable)...

Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 9920.06it/s]
[MODEL] Building proj1 (768→896 via 2048)...
[MODEL] Trainable: 501.6M / Total: 589.1M params
[CKPT] Loading Stage 1 NoGemma proj1 from ../checkpoints/stage1_nogemma/stage1_nogemma_best.pt
  Stage 1 val loss was: 3.3411 (epoch 4)

============================================================
EPOCH 1/5
============================================================
[DATA] Starting train loop... (29259 batches)

[Epoch 1/5] Step 133/29259 | Loss 1.7733 (avg 1.8452) | Elapsed 1m 17s | ETA 4h 43m 44s | Samples/s 27
[Epoch 1/5] Step 134/29259 | Loss 1.7879 (avg 1.8447) | Elapsed 1m 18s | ETA 4h 43m 45s | Samples/s 27
[Epoch 1/5] Step 135/29259 | Loss 1.6604 (avg 1.8434) | Elapsed 1m 18s | ETA 4h 43m 45s | Samples/s 27
[Epoch 1/5] Step 136/29259 | Loss 1.8206 (avg 1.8432) | Elapsed 1m 19s | ETA 4h 43m 45s | Samples/s 27
[Epoch 1/5] Step 137/29259 | Loss 1.7215 (avg 1.8423) | Elapsed 1m 20s | ETA 4h 43m 46s | Samples/s 27
[Epoch 1/5] Step 138/29259 | Loss 1.8091 (avg 1.8421) | Elapsed 1m 20s | ETA 4h 43m 46s | Samples/s 27
[Epoch 1/5] Step 139/29259 | Loss 1.7230 (avg 1.8412) | Elapsed 1m 21s | ETA 4h 43m 46s | Samples/s 27
[Epoch 1/5] Step 140/29259 | Loss 1.8406 (avg 1.8412) | Elapsed 1m 21s | ETA 4h 43m 45s | Samples/s 27
[Epoch 1/5] Step 141/29259 | Loss 1.7596 (avg 1.8406) | Elapsed 1m 22s | ETA 4h 43m 46s | Samples/s 27
[Epoch 1/5] Step 142/29259 | Loss 1.7530 (avg 1.8400) | Elapsed 1m 23s | ETA 4h 43m 46s | Samples/s 27
[Epoch 1/5] Step 143/29259 | Loss 1.7047 (avg 1.8391) | Elapsed 1m 23s | ETA 4h 43m 46s | Samples/s 27
[Epoch 1/5] Step 144/29259 | Loss 1.6383 (avg 1.8377) | Elapsed 1m 24s | ETA 4h 43m 46s | Samples/s 27
[Epoch 1/5] Step 145/29259 | Loss 1.7196 (avg 1.8369) | Elapsed 1m 24s | ETA 4h 43m 46s | Samples/s 27
[Epoch 1/5] Step 146/29259 | Loss 1.9777 (avg 1.8378) | Elapsed 1m 25s | ETA 4h 43m 46s | Samples/s 27
[Epoch 1/5] Step 147/29259 | Loss 1.7885 (avg 1.8375) | Elapsed 1m 25s | ETA 4h 43m 46s | Samples/s 27
[Epoch 1/5] Step 148/29259 | Loss 1.8557 (avg 1.8376) | Elapsed 1m 26s | ETA 4h 43m 46s | Samples/s 27
[Epoch 1/5] Step 149/29259 | Loss 1.9091 (avg 1.8381) | Elapsed 1m 27s | ETA 4h 43m 45s | Samples/s 27
[Epoch 1/5] Step 150/29259 | Loss 1.8705 (avg 1.8383) | Elapsed 1m 27s | ETA 4h 43m 46s | Samples/s 27
[Epoch 1/5] Step 151/29259 | Loss 2.0815 (avg 1.8399) | Elapsed 1m 28s | ETA 4h 43m 47s | Samples/s 27
[Epoch 1/5] Step 152/29259 | Loss 1.9438 (avg 1.8406) | Elapsed 1m 28s | ETA 4h 43m 47s | Samples/s 27
[Epoch 1/5] Step 153/29259 | Loss 1.7695 (avg 1.8401) | Elapsed 1m 29s | ETA 4h 43m 48s | Samples/s 27
[Epoch 1/5] Step 154/29259 | Loss 1.5876 (avg 1.8385) | Elapsed 1m 30s | ETA 4h 43m 48s | Samples/s 27
[Epoch 1/5] Step 155/29259 | Loss 1.9424 (avg 1.8392) | Elapsed 1m 30s | ETA 4h 43m 48s | Samples/s 27
[Epoch 1/5] Step 156/29259 | Loss 1.7980 (avg 1.8389) | Elapsed 1m 31s | ETA 4h 43m 48s | Samples/s 27
[Epoch 1/5] Step 157/29259 | Loss 2.3417 (avg 1.8421) | Elapsed 1m 31s | ETA 4h 43m 49s | Samples/s 27
[Epoch 1/5] Step 158/29259 | Loss 1.9754 (avg 1.8430) | Elapsed 1m 32s | ETA 4h 43m 50s | Samples/s 27
[Epoch 1/5] Step 159/29259 | Loss 1.7394 (avg 1.8423) | Elapsed 1m 33s | ETA 4h 43m 50s | Samples/s 27
[Epoch 1/5] Step 160/29259 | Loss 1.8416 (avg 1.8423) | Elapsed 1m 33s | ETA 4h 43m 51s | Samples/s 27
[Epoch 1/5] Step 161/29259 | Loss 1.8005 (avg 1.8420) | Elapsed 1m 34s | ETA 4h 43m 51s | Samples/s 27
[Epoch 1/5] Step 162/29259 | Loss 1.7811 (avg 1.8417) | Elapsed 1m 34s | ETA 4h 43m 52s | Samples/s 27
[Epoch 1/5] Step 163/29259 | Loss 1.7835 (avg 1.8413) | Elapsed 1m 35s | ETA 4h 43m 52s | Samples/s 27
[Epoch 1/5] Step 164/29259 | Loss 1.7837 (avg 1.8410) | Elapsed 1m 36s | ETA 4h 43m 53s | Samples/s 27
[Epoch 1/5] Step 165/29259 | Loss 1.7221 (avg 1.8402) | Elapsed 1m 36s | ETA 4h 43m 54s | Samples/s 27
[Epoch 1/5] Step 166/29259 | Loss 1.8376 (avg 1.8402) | Elapsed 1m 37s | ETA 4h 43m 54s | Samples/s 27
[Epoch 1/5] Step 167/29259 | Loss 1.7832 (avg 1.8399) | Elapsed 1m 37s | ETA 4h 43m 55s | Samples/s 27
[Epoch 1/5] Step 168/29259 | Loss 1.7864 (avg 1.8396) | Elapsed 1m 38s | ETA 4h 43m 55s | Samples/s 27
[Epoch 1/5] Step 169/29259 | Loss 1.8532 (avg 1.8396) | Elapsed 1m 38s | ETA 4h 43m 56s | Samples/s 27
[Epoch 1/5] Step 170/29259 | Loss 1.7588 (avg 1.8392) | Elapsed 1m 39s | ETA 4h 43m 57s | Samples/s 27
[Epoch 1/5] Step 171/29259 | Loss 1.8320 (avg 1.8391) | Elapsed 1m 40s | ETA 4h 43m 59s | Samples/s 27
[Epoch 1/5] Step 172/29259 | Loss 1.9136 (avg 1.8396) | Elapsed 1m 40s | ETA 4h 43m 59s | Samples/s 27
[Epoch 1/5] Step 173/29259 | Loss 1.8278 (avg 1.8395) | Elapsed 1m 41s | ETA 4h 44m 1s | Samples/s 27
