[DEVICE] cuda
[GPU] NVIDIA L40 | VRAM 47.7GB
[MODEL] Loading processors...
[DATA] Building datasets...
[LLaVA-Instruct] 361411 samples
[GQA Train] 72140 unique image samples
[TextVQA] 34602 samples
[DATA] Total train samples: 468153
[MODEL] Loading CLIP (frozen)...
[MODEL] Loading Qwen (trainable)...
[MODEL] Building proj1 (768→896 via 2048)...
[MODEL] Trainable: 501.6M / Total: 589.1M params
[CKPT] Loading Stage 1 NoGemma proj1 from ../checkpoints/stage1_nogemma/stage1_nogemma_best.pt
  Stage 1 val loss was: 3.3411 (epoch 4)

============================================================
EPOCH 1/3
============================================================
[DATA] Starting train loop... (29259 batches)

[Epoch 1/3] Step 22/29259 | Loss 2.0683 (avg 2.0076) | Elapsed 7s | ETA 2h 48m 9s | Samples/s 46
[Epoch 1/3] Step 23/29259 | Loss 1.6449 (avg 1.9918) | Elapsed 7s | ETA 2h 46m 12s | Samples/s 47
[Epoch 1/3] Step 24/29259 | Loss 1.7495 (avg 1.9817) | Elapsed 8s | ETA 2h 44m 21s | Samples/s 47
[Epoch 1/3] Step 25/29259 | Loss 1.9042 (avg 1.9786) | Elapsed 8s | ETA 2h 42m 42s | Samples/s 48
[Epoch 1/3] Step 26/29259 | Loss 1.6653 (avg 1.9666) | Elapsed 8s | ETA 2h 41m 10s | Samples/s 48
[Epoch 1/3] Step 27/29259 | Loss 1.8177 (avg 1.9611) | Elapsed 8s | ETA 2h 39m 48s | Samples/s 49
[Epoch 1/3] Step 28/29259 | Loss 1.9498 (avg 1.9607) | Elapsed 9s | ETA 2h 38m 29s | Samples/s 49
[Epoch 1/3] Step 29/29259 | Loss 1.7626 (avg 1.9538) | Elapsed 9s | ETA 2h 37m 14s | Samples/s 50
[Epoch 1/3] Step 30/29259 | Loss 1.8386 (avg 1.9500) | Elapsed 9s | ETA 2h 36m 7s | Samples/s 50
[Epoch 1/3] Step 31/29259 | Loss 1.9480 (avg 1.9499) | Elapsed 9s | ETA 2h 35m 6s | Samples/s 50
[Epoch 1/3] Step 32/29259 | Loss 1.8247 (avg 1.9460) | Elapsed 10s | ETA 2h 34m 4s | Samples/s 51
[Epoch 1/3] Step 33/29259 | Loss 1.9195 (avg 1.9452) | Elapsed 10s | ETA 2h 33m 7s | Samples/s 51
[Epoch 1/3] Step 34/29259 | Loss 1.9987 (avg 1.9468) | Elapsed 10s | ETA 2h 32m 16s | Samples/s 51
[Epoch 1/3] Step 35/29259 | Loss 1.9587 (avg 1.9471) | Elapsed 10s | ETA 2h 31m 22s | Samples/s 51
[Epoch 1/3] Step 36/29259 | Loss 1.7602 (avg 1.9419) | Elapsed 11s | ETA 2h 30m 36s | Samples/s 52
[Epoch 1/3] Step 37/29259 | Loss 1.8421 (avg 1.9392) | Elapsed 11s | ETA 2h 29m 50s | Samples/s 52
[Epoch 1/3] Step 38/29259 | Loss 1.8533 (avg 1.9370) | Elapsed 11s | ETA 2h 29m 7s | Samples/s 52
[Epoch 1/3] Step 39/29259 | Loss 1.7956 (avg 1.9333) | Elapsed 11s | ETA 2h 28m 30s | Samples/s 52
[Epoch 1/3] Step 40/29259 | Loss 2.0364 (avg 1.9359) | Elapsed 12s | ETA 2h 27m 53s | Samples/s 53
[Epoch 1/3] Step 41/29259 | Loss 2.2282 (avg 1.9430) | Elapsed 12s | ETA 2h 27m 15s | Samples/s 53
[Epoch 1/3] Step 42/29259 | Loss 1.6558 (avg 1.9362) | Elapsed 12s | ETA 2h 26m 40s | Samples/s 53
[Epoch 1/3] Step 43/29259 | Loss 1.6516 (avg 1.9296) | Elapsed 12s | ETA 2h 26m 9s | Samples/s 53
[Epoch 1/3] Step 44/29259 | Loss 1.8056 (avg 1.9268) | Elapsed 13s | ETA 2h 25m 38s | Samples/s 53
[Epoch 1/3] Step 45/29259 | Loss 1.9864 (avg 1.9281) | Elapsed 13s | ETA 2h 25m 8s | Samples/s 54
